IDcode,statementnum,comp,calc,context,clarity,score
AAB001,1,0,0,1,0,1
AAB001,2,1,1,1,1,4
AAB001,3,1,1,1,1,4
AAB001,4,1,1,1,1,4
AAB001,5,1,1,1,0,3
AAB001,6,1,1,1,0,3
AAB001,7,0,1,1,0,2
AAB002,1,0,1,1,0,2
AAB002,2,1,0,1,0,2
AAB002,3,0,1,0,0,1
AAB003,1,0,0,1,0,1
AAB003,2,0,0,1,0,1
AAB003,3,0,0,1,0,1
AAB003,4,0,0,1,0,1
AAB003,5,1,1,1,1,4
AAB003,6,1,0,0,0,1
AAB003,7,1,1,1,1,4
AAB003,8,1,1,1,1,4
AAB003,9,0,0,1,0,1
AAB003,10,1,1,1,1,4
AAB003,11,1,1,0,0,2
AAB003,12,1,0,1,0,2
AAB004,1,1,1,1,1,4
AAB004,2,1,1,1,0,3
AAB004,3,0,0,1,0,1
AAB004,4,0,0,0,0,0
AAB005,1,1,1,1,1,4
AAB005,2,1,1,1,1,4
AAB005,3,1,1,1,1,4
AAB005,4,1,1,1,1,4
AAB005,5,1,1,1,1,4
AAB005,6,1,1,1,1,4
AAA001,1,0,0,1,0,1
AAA001,2,1,1,1,0,3
AAA001,3,1,0,1,0,2
AAA001,4,1,1,1,1,4
AAA001,5,1,1,1,0,3
AAA001,6,0,0,1,0,1
AAA001,7,1,1,1,0,3
AAA001,8,1,1,1,1,4
AAA002,1,0,1,0,0,1
AAA002,2,0,1,0,0,1
AAA002,3,1,0,1,0,2
AAA002,4,1,1,0,0,2
AAA002,5,1,1,1,0,3
AAA003,1,0,1,1,0,2
AAA003,2,0,1,1,0,2
AAA004,1,1,1,0,0,2
AAA004,2,1,1,1,0,3
AAA004,3,1,1,1,0,3
AAA004,4,1,0,1,0,2
AAA004,5,0,0,0,0,0
AAA005,1,1,0,1,0,2
AAA005,2,1,1,0,0,2
AAA005,3,0,1,1,0,2
AAA005,4,0,0,1,0,1
AAA005,5,1,0,0,0,1
AAA005,6,0,1,0,0,1
AAA005,7,0,0,1,0,1
AAA006,1,1,0,1,0,2
AAA006,2,1,0,1,0,2
AAA006,3,1,0,1,0,2
AAA006,4,1,0,0,0,1
AAA006,5,1,0,0,0,1
AAA006,6,0,1,0,0,1
AAA006,7,1,0,1,0,2
AAA006,8,1,1,1,0,3
AAA006,9,1,1,1,0,3
AAA007,1,1,0,1,1,3
AAA007,2,1,0,0,0,1
AAA007,3,1,0,0,0,1
AAA007,4,1,0,1,0,2
AAA007,5,1,0,0,0,1
AAA007,6,1,1,1,0,3
AAA007,7,1,1,1,0,3
AAA007,8,1,1,0,0,2
AAA008,1,1,1,1,0,3
AAA008,2,1,1,0,0,2
AAA008,3,1,0,1,0,2
AAA008,4,0,1,0,0,1
AAA008,5,0,0,1,0,1
AAA008,6,1,1,0,0,2
AAA008,7,1,0,1,0,2
AAA008,8,1,1,1,1,4
AAA008,9,1,1,1,0,3
AAA008,10,1,1,1,1,4
AAA008,11,1,1,1,1,4
AAA009,1,1,1,0,0,2
AAA009,2,1,0,1,0,2
AAA009,3,1,0,1,0,2
AAA010,1,0,1,1,0,2
AAA010,2,0,1,1,0,2
AAA010,3,0,0,0,0,0
AAA010,4,0,1,1,0,2
AAA011,1,0,1,1,0,2
AAA011,2,1,1,1,0,3
AAA011,3,0,1,1,0,2
AAA012,1,1,0,1,1,3
AAA012,2,1,0,0,0,1
AAA012,3,1,1,0,0,2
AAA012,4,0,0,0,0,0
AAA012,5,0,0,0,0,0
AAA012,6,1,1,1,1,4
AAA012,7,1,0,1,0,2
AAA013,1,1,1,1,1,4
AAA013,2,1,1,0,1,3
AAA013,3,1,1,0,0,2
AAA013,4,0,1,1,0,2
AAA013,5,1,0,1,0,2
AAA013,6,1,0,1,0,2
AAA013,7,1,1,1,1,4
AAA013,8,1,0,1,0,2
AAA013,9,1,1,1,1,4
AAA014,1,1,0,1,0,2
AAA014,2,1,1,1,1,4
AAA014,3,1,0,1,0,2
AAA014,4,0,0,0,0,0
AAA014,5,0,0,1,0,1
AAA014,6,1,1,0,0,2
AAA014,7,1,0,0,0,1
AAA014,8,0,1,0,0,1
AAA014,9,0,0,1,0,1
AAA014,10,0,1,0,0,1
AAA014,11,1,0,0,0,1
AAA015,1,1,0,0,0,1
AAA015,2,0,0,0,0,0
AAA015,3,1,1,0,0,2
AAA015,4,1,1,1,1,4
AAA015,5,1,1,1,1,4
AAA015,6,1,0,1,0,2
AAA015,7,0,1,1,0,2
AAA015,8,1,1,1,0,3
